title,release_date,platform,category,imdb_id,imdb_url,imdb_title,imdb_year,imdb_plot,imdb_director,imdb_actors,imdb_rating,imdb_poster,last_updated
Matka,Soon,Prime Video,Film,tt19842696,https://www.imdb.com/title/tt19842696/,Matka,2022–,"Agnieszka is a journalist trying to come to terms with the suicide of her 12-year-old son. When, a few years after the tragedy, Agnieszka's husband, Jacek, gets a job in the Netherlands, it seems that this is the perfect time to m...",N/A,"Olga Boladz, Lukasz Simlat, Paulina Krzyzanska",N/A,https://m.media-amazon.com/images/M/MV5BNTllMDY0M2YtNTMzOC00MzE0LTg0NWMtY2VkMmNlYzIwZjhkXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_SX300.jpg,2024-10-15T23:50:31.302104
Devara,Soon,Netflix,Film,tt11821912,https://www.imdb.com/title/tt11821912/,Devara Part 1,2024,"An epic action saga set against coastal lands, which briefs about rip-roaring ,emotionally charged incidents in the periodic timeline, also comprises the titular protagonist being the rescuer to deprived and fear to evildoers.",Koratala Siva,"N.T. Rama Rao Jr., Saif Ali Khan, Janhvi Kapoor",6.4,https://m.media-amazon.com/images/M/MV5BMzUwZTM1ZDEtZGViOC00YmUxLWEwNWQtNGIyMzE2NWZkYzUyXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:31.549734
SWAG,Soon,Prime Video,Film,tt28351127,https://www.imdb.com/title/tt28351127/,Swag,2024,Story of swaganika bloodline who changes the matriarchal society to patriarchal society,Hasith Goli,"Sree Vishnu, Getup Srinu, Daksha Nagarkar",N/A,https://m.media-amazon.com/images/M/MV5BOTAzOGE3MTctN2VlZi00ZWFlLThlYjQtYmM3NDdmOWQ3ZmNiXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:31.899919
Sathyam Sundaram,Soon,Netflix,Film,tt0371933,https://www.imdb.com/title/tt0371933/,Sathyam Sundaram,1981,N/A,K.S. Rao,"Shivaji Ganesan, Pandari Bai, Jai Ganesh",5.5,https://m.media-amazon.com/images/M/MV5BNmFkYTI3ZmEtNDA3NC00NzBhLWExMDQtODJhOThmM2YwZDJmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,2024-10-15T23:50:32.168461
Mathu Vadalara 2,11 Oct 2024,Netflix,Film,tt33291871,https://www.imdb.com/title/tt33291871/,Mathu Vadalara 2,2024,"Babu and Yesu, former delivery agents, embark on a thrilling mission as special agents, facing extraordinary challenges with humor, surprises, and nonstop excitement.",Ritesh Rana,"Faria Abdullah, Vennela Kishore, Sri Simha Koduri",7.0,https://m.media-amazon.com/images/M/MV5BZTU4ZWRlYTUtNGY0Yy00NDNjLThlNzQtY2M1NDNiOWM5MWJkXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:32.444624
Utsavam,11 Oct 2024,Prime Video,Film,tt31100572,https://www.imdb.com/title/tt31100572/,Utsavam,2024,,Arjun Sai,"Dilip Prakash, Regina Cassandra, Mohammad Ali",N/A,https://m.media-amazon.com/images/M/MV5BMzYyOTI2MjItOWU1Ni00NzI0LTk1Y2UtYmU3Yzc0OTFlYjdkXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:32.708831
Sabari,11 Oct 2024,Sun NXT,Film,tt24225846,https://www.imdb.com/title/tt24225846/,Sabari,2024,"A single mother battles her past demons to safeguard her child's future, facing daunting challenges to shield her daughter from imminent danger.",Anilkatz,"Varalaxmi Sarathkumar, Ganesh Venkatraman, Shashank Siddamsetty",9.2,https://m.media-amazon.com/images/M/MV5BNzgzYmYzMTEtNDc2ZS00NzU3LThjNDMtODM2NzZmMDY0ZmEyXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:32.958666
Gorre Puranam,10 Oct 2024,Aha,Film,tt28635681,https://www.imdb.com/title/tt28635681/,Gorre Puranam,2024,,Bobby,N/A,N/A,N/A,2024-10-15T23:50:33.251881
Pailam Pilaga,10 Oct 2024,ETV Win,Film,tt33062754,https://www.imdb.com/title/tt33062754/,Pailam Pilaga,2024,"In Kothula Gutta, Shiva dreams beyond his village. When love and fate intertwine, an epic journey of challenges and redemption unfolds.",Anand Gurram,"Pavani Karanam, Dubbing Janaki, Chitram Sreenivas",N/A,https://m.media-amazon.com/images/M/MV5BMWFhMjlkMzYtZDVlMS00NDBlLWEyNzQtYzgzNDhiNGIyMzc2XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:33.511931
Balu Gani Talkies,04 Oct 2024,Aha,Film,,,,,,,,,,
